id,items,type
52160383, 10xCauli Tacos,funtion
52160382, 10xChicken Tacos,funtion
52160042, 4ItemsFingerFood,funtion
52160354, 4xFF Opt 2,funtion
50015002, Add Shredded Ham,add-on
17297001, BBQ Sauce,add-on
52160055, BonelesChickWing,funtion
52160057, BowlOfFries,funtion
17293, Buffalo Sauce,add-on
1779201, Cauliflower Bite,walk-on
52160368, CauliflowerBites,funtion
52160063, ChefSeleMixPizza,funtion
1772002, Chicken Bites,walk-on
52297001, Chicken Tacos SS,funtion
1778401, Chickn Rnch Piza,walk-on
17717, Corn Ribs,walk-on
177932, Duo Cauli Tacos,walk-on
177931, Duo Chicken Taco,walk-on
17793, Duo of Tacos,walk-on
13063484, Fries Reg,walk-on
52160094, FriesToShare,funtion
17784007, GF Chicken Pizza,walk-on
17684007, GF Fries L,walk-on
17227007, GF Hawaii Pizza,walk-on
17790007, GF Potato Gems,walk-on
52160108, HamPinePizzaShar,funtion
17227001, Hawaiian Pizza,walk-on
1778301, Hot Honey Pizza,walk-on
17684002, Hrb Slt Fries Lg,walk-on
17684001, Hrb Slt Fries Rg,walk-on
52120, Jalapenos Add on,add-on
1778801, Kids Burger Meal,walk-on
1778802, Kids ChesBurger,walk-on
17683005, Kids Chick Meal,walk-on
52243001, Kids ChickenMeal,walk-on
1778901, Kids Mini Pizza,walk-on
17789002, Kids Pizza Meal,walk-on
52160113, KidsFriesToShare,funtion
52160119, KidsPizzaToShare,funtion
52160123, KidsTender2Share,funtion
17487111, Liquid Cheese,add-on
52160125, MargPizzaShare,funtion
171652421, Margherita Pizza,walk-on
1778501, Meatlovers Pizza,walk-on
177942, Mint Choc Top,walk-on
17080, Nachos,walk-on
17505002, No GluFree Piz B,walk-on
5214036, OL Pizza,funtion
5214037, OL Premium Pizza,funtion
5214038, OL Share Tacos,funtion
52160375, OliveFlatbr&Humm,funtion
171581, Onion Rings,walk-on
1778601, P/B BBQ Chicken,walk-on
52160140, PartyLollieTable,funtion
17499112, Pepperoni,add-on
17716, Pepperoni Pizza,walk-on
17495112, Pineapple Chunks,add-on
52298, Pizza Combo,walk-on
52160351, PizzanFries,funtion
1779001, Potato Gems,walk-on
17241001, Potato Wedges,walk-on
52160360, Prem Pizza&Fries,funtion
17488111, Ranch Sauce,add-on
16847002, Red Rock Chips,walk-on
52160149, SeasonFruitPlat,funtion
52238000, Sides Combo,funtion
17295112, Sour Cream,walk-on
17302, Sweet Pot Fries,walk-on
52160365, SweetPotatoFries,funtion
52299, Tacos Combo,walk-on
17296112, Tomato Sauce,add-on
17724, Trio Beef Slider,walk-on
17723, Trio Chick Slide,walk-on
17781, Trio Of Sliders,walk-on
52237000, Trio Vegan Slide,walk-on
177941, Vanilla Choc Top,walk-on
1779101, Warm Olives,walk-on
