 PizzanFries,85,1545.453,52160351 ,9 - Strike CCW,FY23/24 , P13
 Hrb Slt Fries Lg,173,1319.4999,17684002 ,9 - Strike CCW,FY23/24 , P13
 Margherita Pizza,52,822.3966,171652421 ,9 - Strike CCW,FY23/24 , P13
 4ItemsFingerFood,22,760.001,52160042 ,9 - Strike CCW,FY23/24 , P13
 Prem Pizza&Fries,33,599.9994,52160360 ,9 - Strike CCW,FY23/24 , P13
 Pepperoni Pizza,33,576.1363,17716 ,9 - Strike CCW,FY23/24 , P13
 KidsPizzaToShare,62,507.2716,52160119 ,9 - Strike CCW,FY23/24 , P13
 Chicken Bites,32,480.0,1772002 ,9 - Strike CCW,FY23/24 , P13
 Nachos,25,477.2725,17080 ,9 - Strike CCW,FY23/24 , P13
 Sides Combo,18,474.5448,52238000 ,9 - Strike CCW,FY23/24 , P13
 Meatlovers Pizza,20,423.1814,1778501 ,9 - Strike CCW,FY23/24 , P13
 4xFF Opt 2,10,345.455,52160354 ,9 - Strike CCW,FY23/24 , P13
 Potato Wedges,43,338.1821,17241001 ,9 - Strike CCW,FY23/24 , P13
 KidsFriesToShare,62,338.179,52160113 ,9 - Strike CCW,FY23/24 , P13
 Nachos,15,272.727,52160367 ,9 - Strike CCW,FY23/24 , P13
 Trio Beef Slider,14,248.1822,17724 ,9 - Strike CCW,FY23/24 , P13
 Hawaiian Pizza,15,225.0,17227001 ,9 - Strike CCW,FY23/24 , P13
 Sweet Pot Fries,30,225.0,17302 ,9 - Strike CCW,FY23/24 , P13
 Chickn Rnch Piza,9,200.4543,1778401 ,9 - Strike CCW,FY23/24 , P13
 Trio Chick Slide,11,195.0003,17723 ,9 - Strike CCW,FY23/24 , P13
 Potato Gems,32,180.0,1779001 ,9 - Strike CCW,FY23/24 , P13
 Kids Chick Meal,13,145.0905,17683005 ,9 - Strike CCW,FY23/24 , P13
 Hrb Slt Fries Rg,21,133.6356,17684001 ,9 - Strike CCW,FY23/24 , P13
 Pizza Combo,18,122.7273,52298 ,9 - Strike CCW,FY23/24 , P13
 Onion Rings,10,118.182,171581 ,9 - Strike CCW,FY23/24 , P13
 Kids ChickenMeal,8,112.7272,52243001 ,9 - Strike CCW,FY23/24 , P13
 Cauliflower Bite,11,106.3638,1779201 ,9 - Strike CCW,FY23/24 , P13
 Duo Chicken Taco,8,93.9394,177931 ,9 - Strike CCW,FY23/24 , P13
 Vanilla Choc Top,20,90.91,177941 ,9 - Strike CCW,FY23/24 , P13
 Hot Honey Pizza,4,89.0908,1778301 ,9 - Strike CCW,FY23/24 , P13
 OL Pizza,4,72.7272,5214036 ,9 - Strike CCW,FY23/24 , P13
 Duo Cauli Tacos,5,63.6365,177932 ,9 - Strike CCW,FY23/24 , P13
 Fries Reg,19,46.3183,13063484 ,9 - Strike CCW,FY23/24 , P13
 Kids ChesBurger,4,45.0908,1778802 ,9 - Strike CCW,FY23/24 , P13
 P/B BBQ Chicken,2,44.5454,1778601 ,9 - Strike CCW,FY23/24 , P13
 Potato Gems,5,43.182,52160364 ,9 - Strike CCW,FY23/24 , P13
 SweetPotatoFries,5,43.182,52160365 ,9 - Strike CCW,FY23/24 , P13
 OL Share Tacos,3,38.1819,5214038 ,9 - Strike CCW,FY23/24 , P13
 Trio Vegan Slide,2,35.4546,52237000 ,9 - Strike CCW,FY23/24 , P13
 Corn Ribs,2,27.2728,17717 ,9 - Strike CCW,FY23/24 , P13
 Onion Rings,11,23.6364,171582 ,9 - Strike CCW,FY23/24 , P13
 GF Chicken Pizza,1,22.2727,17784007 ,9 - Strike CCW,FY23/24 , P13
 GF Hawaii Pizza,1,19.0909,17227007 ,9 - Strike CCW,FY23/24 , P13
 HamPinePizzaShar,1,18.1818,52160108 ,9 - Strike CCW,FY23/24 , P13
 GF Fries L,2,18.0,17684007 ,9 - Strike CCW,FY23/24 , P13
 Jalapenos Add on,7,12.7274,52120 ,9 - Strike CCW,FY23/24 , P13
 Warm Olives,1,10.9091,1779101 ,9 - Strike CCW,FY23/24 , P13
 Mint Choc Top,2,9.091,177942 ,9 - Strike CCW,FY23/24 , P13
 GF Potato Gems,1,9.0,17790007 ,9 - Strike CCW,FY23/24 , P13
