 Hrb Slt Fries Lg,130,1049.3226,17684002 ,9 - Strike CCW,FY23/24 , P08
 Margherita Pizza,31,563.6358,171652421 ,9 - Strike CCW,FY23/24 , P08
 Nachos,26,463.6359,17080 ,9 - Strike CCW,FY23/24 , P08
 Meatlovers Pizza,18,338.1821,1778501 ,9 - Strike CCW,FY23/24 , P08
 OL Pizza,17,309.0906,5214036 ,9 - Strike CCW,FY23/24 , P08
 Trio Of Sliders,19,292.5002,17781 ,9 - Strike CCW,FY23/24 , P08
 Chicken Bites,20,283.6372,1772002 ,9 - Strike CCW,FY23/24 , P08
 Pepperoni Pizza,15,263.6361,17716 ,9 - Strike CCW,FY23/24 , P08
 Sides Combo,9,229.0905,52238000 ,9 - Strike CCW,FY23/24 , P08
 Hawaiian Pizza,10,181.818,17227001 ,9 - Strike CCW,FY23/24 , P08
 OL Premium Pizza,8,174.5456,5214037 ,9 - Strike CCW,FY23/24 , P08
 Chickn Rnch Piza,8,163.6365,1778401 ,9 - Strike CCW,FY23/24 , P08
 Sweet Pot Fries,22,159.7734,17302 ,9 - Strike CCW,FY23/24 , P08
 Potato Gems,25,146.8188,1779001 ,9 - Strike CCW,FY23/24 , P08
 KidsPizzaToShare,16,130.9088,52160119 ,9 - Strike CCW,FY23/24 , P08
 Cauliflower Bite,13,116.3637,1779201 ,9 - Strike CCW,FY23/24 , P08
 Onion Rings,9,106.3638,171581 ,9 - Strike CCW,FY23/24 , P08
 Hrb Slt Fries Rg,17,100.4547,17684001 ,9 - Strike CCW,FY23/24 , P08
 KidsFriesToShare,16,87.272,52160113 ,9 - Strike CCW,FY23/24 , P08
 Hot Honey Pizza,4,76.3637,1778301 ,9 - Strike CCW,FY23/24 , P08
 Trio Beef Slider,15,53.1819,17724 ,9 - Strike CCW,FY23/24 , P08
 Fries Reg,9,49.7726,13063484 ,9 - Strike CCW,FY23/24 , P08
 Onion Rings,10,47.2728,171582 ,9 - Strike CCW,FY23/24 , P08
 Corn Ribs,3,40.9092,17717 ,9 - Strike CCW,FY23/24 , P08
 Kids ChickenMeal,3,40.9092,52243001 ,9 - Strike CCW,FY23/24 , P08
 Duo of Tacos,3,38.1819,17793 ,9 - Strike CCW,FY23/24 , P08
 Duo Chicken Taco,3,38.1819,177931 ,9 - Strike CCW,FY23/24 , P08
 OL Share Tacos,3,38.1819,5214038 ,9 - Strike CCW,FY23/24 , P08
 Trio Chick Slide,9,35.4546,17723 ,9 - Strike CCW,FY23/24 , P08
 Vanilla Choc Top,7,29.5457,177941 ,9 - Strike CCW,FY23/24 , P08
 Mint Choc Top,5,22.7275,177942 ,9 - Strike CCW,FY23/24 , P08
 P/B BBQ Chicken,1,21.8182,1778601 ,9 - Strike CCW,FY23/24 , P08
 Kids Burger Meal,1,13.6364,1778801 ,9 - Strike CCW,FY23/24 , P08
 Warm Olives,2,10.9091,1779101 ,9 - Strike CCW,FY23/24 , P08
 Chicken Tacos SS,1,9.0909,52297001 ,9 - Strike CCW,FY23/24 , P08
 Kids Mini Pizza,4,5.4544,1778901 ,9 - Strike CCW,FY23/24 , P08
 Ranch Sauce,6,5.0,17488001 ,9 - Strike CCW,FY23/24 , P08
 Ranch Sauce,6,5.0,17488111 ,9 - Strike CCW,FY23/24 , P08
 No GluFree Piz B,2,3.6364,17505002 ,9 - Strike CCW,FY23/24 , P08
 Buffalo Sauce,3,2.7273,17293 ,9 - Strike CCW,FY23/24 , P08
 Sour Cream,3,2.7273,17295112 ,9 - Strike CCW,FY23/24 , P08
 Pineapple Chunks,1,1.8182,17495112 ,9 - Strike CCW,FY23/24 , P08
 Buffalo Sauce,1,0.9091,17293002 ,9 - Strike CCW,FY23/24 , P08
 Jalapenos Add on,1,0.9091,52120 ,9 - Strike CCW,FY23/24 , P08
 BBQ Sauce,1,0.4545,17297112 ,9 - Strike CCW,FY23/24 , P08
 Red Rock Chips,2,0.0,16847002 ,9 - Strike CCW,FY23/24 , P08
 Tomato Sauce,51,0.0,17296112 ,9 - Strike CCW,FY23/24 , P08
 Duo Cauli Tacos,3,0.0,177932 ,9 - Strike CCW,FY23/24 , P08
 Kids Chick Meal,5,0.0,17795 ,9 - Strike CCW,FY23/24 , P08
